,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
4375,1,0,Charles Oliveira,Myles Jury,0.0,0.0,5.0,5.0,0.5,0.31,10.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,97.0
4376,0,1,CB Dollaway,Nate Marquardt,0.0,1.0,15.0,16.0,0.42,0.59,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
4377,0,1,Sarah Kaufman,Valentina Shevchenko,0.0,0.0,27.0,32.0,0.61,0.72,142.0,66.0,1.0,4.0,0.25,0.44,0.0,0.0,0.0,0.0,291.0,373.0
4378,0,1,Josh Samman,Tamdan McCrory,0.0,0.0,10.0,39.0,0.52,0.73,53.0,80.0,2.0,2.0,0.5,0.5,0.0,1.0,1.0,1.0,380.0,438.0
4379,1,0,Nik Lentz,Danny Castillo,0.0,0.0,59.0,57.0,0.44,0.45,72.0,60.0,3.0,2.0,0.5,0.33,2.0,0.0,0.0,0.0,94.0,214.0
4380,0,1,Cole Miller,Jim Alers,0.0,0.0,28.0,25.0,0.36,0.31,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4381,1,0,Kamaru Usman,Leon Edwards,0.0,0.0,48.0,26.0,0.6,0.45,126.0,36.0,6.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,650.0,40.0
4382,1,0,Francis Ngannou,Luis Henrique,1.0,0.0,25.0,5.0,0.55,0.5,40.0,33.0,0.0,1.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,289.0
4383,0,1,Jose Aldo,Conor McGregor,0.0,1.0,1.0,5.0,0.33,0.83,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4384,0,1,Chris Weidman,Luke Rockhold,0.0,0.0,48.0,126.0,0.64,0.65,62.0,161.0,3.0,2.0,0.5,0.5,0.0,1.0,0.0,0.0,267.0,332.0
4385,0,1,Jacare Souza,Yoel Romero,0.0,1.0,30.0,46.0,0.57,0.5,42.0,56.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,153.0,118.0
4386,1,0,Demian Maia,Gunnar Nelson,0.0,0.0,47.0,2.0,0.81,0.5,193.0,7.0,2.0,1.0,0.25,1.0,1.0,0.0,1.0,2.0,658.0,134.0
4387,1,0,Max Holloway,Jeremy Stephens,0.0,0.0,57.0,47.0,0.57,0.49,79.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,207.0,129.0
4388,1,0,Urijah Faber,Frankie Saenz,0.0,0.0,75.0,66.0,0.67,0.48,80.0,72.0,2.0,0.0,0.15,0.0,0.0,0.0,0.0,1.0,114.0,121.0
4389,1,0,Tecia Pennington,Jocelyn Jones-Lybarger,0.0,0.0,77.0,29.0,0.57,0.27,126.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,141.0
4390,1,0,Warlley Alves,Colby Covington,0.0,0.0,2.0,2.0,0.5,1.0,2.0,2.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,63.0
4391,1,0,Leonardo Santos,Kevin Lee,1.0,0.0,32.0,10.0,0.66,0.21,32.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
4392,0,1,Joe Proctor,Magomed Mustafaev,0.0,1.0,9.0,18.0,0.69,0.66,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
4393,0,1,John Makdessi,Yancy Medeiros,0.0,1.0,114.0,80.0,0.58,0.29,114.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
4394,1,0,Court McGee,Marcio Alexandre Junior,0.0,0.0,58.0,23.0,0.58,0.47,133.0,28.0,2.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,425.0,5.0
4395,1,0,Frankie Edgar,Chad Mendes,1.0,0.0,13.0,5.0,0.4,0.29,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4396,0,1,Artem Lobov,Ryan Hall,0.0,0.0,2.0,23.0,0.18,0.56,13.0,169.0,0.0,1.0,0.0,0.33,0.0,1.0,0.0,0.0,305.0,445.0
4397,0,1,Edson Barboza,Tony Ferguson,0.0,0.0,41.0,61.0,0.48,0.52,45.0,69.0,2.0,0.0,0.66,0.0,0.0,1.0,0.0,0.0,117.0,21.0
4398,0,1,Joe Lauzon,Evan Dunham,0.0,0.0,42.0,127.0,0.37,0.43,44.0,147.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,15.0,110.0
4399,1,0,Tatsuya Kawajiri,Jason Knight,0.0,0.0,28.0,28.0,0.73,0.66,97.0,44.0,6.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,815.0,0.0
4400,1,0,Ryan LaFlare,Mike Pierce,0.0,0.0,65.0,42.0,0.34,0.33,78.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
4401,0,1,Joby Sanchez,Geane Herrera,0.0,1.0,55.0,40.0,0.35,0.33,55.0,42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
4402,1,0,Rose Namajunas,Paige VanZant,0.0,0.0,57.0,10.0,0.57,0.2,104.0,53.0,8.0,0.0,0.8,0.0,4.0,0.0,0.0,0.0,1001.0,26.0
4403,0,1,Jim Miller,Michael Chiesa,0.0,0.0,7.0,13.0,0.46,0.43,19.0,33.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,147.0,253.0
4404,1,0,Sage Northcutt,Cody Pfister,0.0,0.0,8.0,5.0,0.88,0.62,19.0,40.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,116.0,196.0
4405,0,1,Elias Theodorou,Thiago Santos,0.0,0.0,28.0,52.0,0.29,0.64,40.0,83.0,1.0,1.0,0.07,0.5,0.0,0.0,0.0,0.0,409.0,53.0
4406,1,0,Tim Means,John Howard,1.0,0.0,37.0,20.0,0.52,0.37,43.0,22.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,60.0
4407,0,1,Omari Akhmedov,Sergio Moraes,1.0,1.0,35.0,21.0,0.29,0.3,38.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0
4408,0,1,Antonio Carlos Junior,Kevin Casey,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4409,1,0,Aljamain Sterling,Johnny Eduardo,0.0,0.0,23.0,4.0,0.37,0.16,49.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,209.0,1.0
4410,1,0,Danny Roberts,Nathan Coy,0.0,0.0,6.0,11.0,0.31,0.4,8.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0
4411,1,0,Zubaira Tukhugov,Phillipe Nover,0.0,0.0,21.0,20.0,0.25,0.25,23.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0
4412,1,0,Benson Henderson,Jorge Masvidal,0.0,0.0,86.0,77.0,0.58,0.49,138.0,217.0,3.0,1.0,0.25,0.2,0.0,1.0,0.0,0.0,412.0,229.0
4413,1,0,Dong Hyun Kim,Dominic Waters,0.0,0.0,6.0,0.0,0.75,0.0,91.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,120.0,53.0
4414,0,1,Yoshihiro Akiyama,Alberto Mina,0.0,1.0,78.0,69.0,0.54,0.45,92.0,84.0,0.0,2.0,0.0,0.13,0.0,0.0,0.0,0.0,83.0,37.0
4415,1,0,Dooho Choi,Sam Sicilia,1.0,0.0,18.0,8.0,0.69,0.42,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
